id,lon,lat,title,roi_err,w_code,level,far_fog_color,s_value,l_value,v_value,hsl,road_code
20,37.7585460,128.8047310,둔내터널(강릉외부)_20170120_1300-1330_주간_눈흔들림_2.avi,N,snow,0,89,0,0,1020,0,0
21,37.7585460,128.8047310,둔내터널(강릉외부)_20170120_1300-1330_주간_눈흔들림_3.avi,N,snow,0,94,0,0,1020,0,0
22,37.7585460,128.8047310,둔내터널(강릉외부)_20170129_1630-1800_주간_눈비흐릿.avi,N,snow,0,56,0,0,1020,0,0
23,37.7585460,128.8047310,둔내터널(강릉외부)_20170129_1630-1800_주간_눈비흐릿_2.avi,N,snow,0,57,0,0,1020,0,0
24,37.7585460,128.8047310,둔내터널(강릉외부)_20170129_1630-1800_주간_눈비흐릿_3.avi,N,snow,0,57,0,0,1020,0,0
25,37.7585460,128.8047310,둔내터널(강릉외부)_20170130_0830-0930_주간_눈흔들림.avi,N,snow,0,90,0,0,1020,0,0
26,37.7585460,128.8047310,둔내터널(강릉외부)_20170130_0830-0930_주간_눈흔들림_2.avi,N,snow,0,89,0,0,1020,0,0
27,37.7585460,128.8047310,둔내터널(강릉외부)_20170130_0830-0930_주간_눈흔들림_3.avi,N,snow,0,91,0,0,1020,0,0
28,37.7585460,128.8047310,둔내터널(강릉외부)_20170130_1430-1500_주간_눈.avi,N,snow,0,83,0,0,1020,0,0
29,37.7585460,128.8047310,둔내터널(강릉외부)_20170130_1430-1500_주간_눈_2.avi,N,snow,0,83,0,0,1020,0,0
30,37.7585460,128.8047310,둔내터널(강릉외부)_20170130_1430-1500_주간_눈_3.avi,N,snow,0,80,0,0,1020,0,0
31,37.7585460,128.8047310,문막1_20170101_0900-0930_주간_안개.avi,N,fog,1,161,0,0,1020,0,0
32,37.7585460,128.8047310,문막1_20170101_0900-0930_주간_안개_2.avi,N,fog,1,162,0,0,1020,0,0
33,37.7585460,128.8047310,문막1_20170101_0900-0930_주간_안개_3.avi,N,fog,1,160,0,0,1020,0,0
34,37.7585460,128.8047310,문막1_20170102_0900-0930_주간_안개.avi,N,fog,0,156,0,0,1020,0,0
35,37.7585460,128.8047310,문막1_20170102_0900-0930_주간_안개_2.avi,N,fog,0,158,0,0,1020,0,0
36,37.7585460,128.8047310,문막1_20170102_0900-0930_주간_안개_3.avi,N,fog,0,157,0,0,1020,0,0
37,37.7585460,128.8047310,문막1_20170103_1000-1100_주간_안개.avi,N,fog,1,170,0,0,35,0,0
38,37.7585460,128.8047310,문막1_20170103_1000-1100_주간_안개_2.avi,N,fog,1,170,0,0,33,0,0
39,37.7585460,128.8047310,문막1_20170103_1000-1100_주간_안개_3.avi,N,fog,1,171,0,0,73,0,0
40,37.7585460,128.8047310,문막1_20170105_0800-0830_주간_안개.avi,N,fog,0,160,0,0,1020,0,0
41,37.7585460,128.8047310,문막1_20170105_0800-0830_주간_안개_2.avi,N,fog,0,159,0,0,1020,0,0
42,37.7585460,128.8047310,문막1_20170105_0800-0830_주간_안개_3.avi,N,fog,0,161,0,0,1020,0,0
43,37.7585460,128.8047310,문막1_20170120_0800-0830_주간_안개.avi,N,fog,1,168,0,0,106,0,0
44,37.7585460,128.8047310,문막1_20170120_0800-0830_주간_안개_2.avi,N,fog,1,167,0,0,112,0,0
45,37.7585460,128.8047310,문막1_20170120_0800-0830_주간_안개_3.avi,N,fog,0,166,0,0,198,0,0
46,37.7585460,128.8047310,문막1_20170129_1500-1600_주간_눈안개.avi,N,fog,0,145,0,0,1020,0,0
47,37.7585460,128.8047310,문막1_20170129_1500-1600_주간_눈안개_2.avi,N,fog,0,138,0,0,1020,0,0
